start_station,end_station,occurrences
Sukkerbiten,Sentrum Scene,204
Schous plass,Akersgata,204
Vippetangen vest,Sjoesiden ved fontenen,203
Thomas Heftyes plass,Skoeyen,203
Fagerheimgata,Sjoesiden ved trappen,203
Bislettgata,Spikersuppa Vest,203
AHO,AHO,202
Alexander Kiellands Plass,Sukkerbiten,202
Tjuvholmen,Munkedamsveien,202
Aker Brygge,Langkaia,202
Jordalgata,Kvaernerbyen,202
Ringnes Park,Kirkeristen,202
Majorstuen,Frogner plass,202
Vulkan,Jernbanetorget,202
Jordalgata,Sjoesiden ved trappen,202
Jernbanetorget,AHO,201
AHO,Toeyenbekken,201
BI Nydalen,Ringnes Park,201
Helga Helgesens plass,Jens Bjelkes Gate,201
Lakkegata,Lakkegata,201
Toeyen skole,Enerhaugen,200
Dokkveien,Dokkveien,200
Akerselvallmenningen,Birkelunden,200
Olaf Ryes plass,Sukkerbiten,199
Kirkeristen,Sukkerbiten,199
Aker Brygge,Munkegata,199
Spikersuppa Øst,Spikersuppa Øst,199
Botanisk Hage soer,Sofienbergparken nordvest,199
Bislett Stadion,Tjuvholmen,198
Torggata,Kirkeristen,198
Olaf Ryes plass,Sjoesiden ved trappen,197
Bislett Stadion,Ringnes Park,197
Myraloekka Øst,Ringnes Park,197
Rostockgata,Sukkerbiten,197
Groenlands torg,Sukkerbiten,197
Alexander Kiellands Plass,Birkelunden,197
Helga Helgesens plass,Sommerfrydhagen,197
Sofienbergparken soer,Toeyenbekken,197
Hasle Torg,Toeyen skole,197
Frogner plass,Karenslyst allé,197
Bislettgata,Bogstadveien,197
The Hub,AHO,196
Botanisk Hage soer,Jakob kirke,196
Professor Aschehougs plass,Torggata,196
Helga Helgesens plass,Spikersuppa Øst,196
Jernbanetorget,Soendre gate,195
Sukkerbiten,Fred Olsens gate,195
Birkelunden,Sofienberggata,195
Lakkegata,Brugata,194
Aker Brygge,Tjuvholmen,194
AHO,Jess Carlsens gate,194
Aker Brygge,Professor Aschehougs plass,194
Kirkeristen,Lakkegata,194
AHO,Bankplassen,194
Saga Kino,Frognerstranda,193
Toeyen skole,Sofienberggata,193
